,kernel,data,d,r,k,gamma,eig_A11,cond,max_rank,rank,kernel_eigs,kernel_params,pivchol_trace,sigma2,time_kernel,time_pivchol,prod
0,Matern,normal,1,0,1,1.0,1.0,929.6080036079405,300,300,77.32777032563517,"(0.1, 2.5)",909.4415278461961,0.1,0.20455530600156635,8.92018235300202,77.32777032563517
1,Matern,normal,1,0,11,10.999869029557589,0.09090864142921315,705.7637962503492,300,300,31.304980007450144,"(0.1, 2.5)",687.3028127447392,0.1,0.20455530600156635,8.92018235300202,344.35068005487034
2,Matern,normal,1,0,21,20.637907313571606,0.04716762834196898,549.6340154881914,300,300,11.65413653529798,"(0.1, 2.5)",463.5127903680143,0.1,0.20455530600156635,8.92018235300202,240.51698963518822
3,Matern,normal,1,0,31,21.842613231900703,0.030586654787686157,299.5293976417088,300,300,4.646249414874834,"(0.1, 2.5)",283.77259478474775,0.1,0.20455530600156635,8.92018235300202,101.48622894805595
4,Matern,normal,1,0,41,30.743003862405757,0.017466983223407413,109.29680285722252,300,300,2.3897423325667106,"(0.1, 2.5)",130.523987902496,0.1,0.20455530600156635,8.92018235300202,73.46785776025293
5,Matern,normal,1,0,51,31.5808686603626,0.01099041866194757,58.257401978493256,300,300,1.2641631183010968,"(0.1, 2.5)",60.48955958009423,0.1,0.20455530600156635,8.92018235300202,39.923369404341365
6,Matern,normal,1,0,61,25.85624241487355,0.006075619451008694,43.93424136091688,300,300,0.7323346965065626,"(0.1, 2.5)",45.621471729340236,0.1,0.20455530600156635,8.92018235300202,18.935423441696532
7,Matern,normal,1,0,71,30.21985505561738,0.003027124585109706,19.39918590080264,300,300,0.3426814133189161,"(0.1, 2.5)",23.64869289079789,0.1,0.20455530600156635,8.92018235300202,10.355782640751755
8,Matern,normal,1,0,81,43.1456817865344,0.0016768968241598614,7.439082326810291,300,300,0.19625192486132903,"(0.1, 2.5)",12.806084992439068,0.1,0.20455530600156635,8.92018235300202,8.467423100061762
9,Matern,normal,1,0,91,51.84783837132916,0.0010369856922090774,5.351145711565004,300,300,0.11429523876989671,"(0.1, 2.5)",5.048682397479672,0.1,0.20455530600156635,8.92018235300202,5.925961066354079
10,Matern,normal,1,0,101,34.20041978688108,0.0006128285252740354,2.932639727708083,300,300,0.06983740012485073,"(0.1, 2.5)",2.925941599995805,0.1,0.20455530600156635,8.92018235300202,2.388468401094276
11,Matern,normal,1,0,111,27.46317649378703,0.0002867771557332975,2.401691743839678,300,300,0.03668877181806168,"(0.1, 2.5)",2.4616527470127467,0.1,0.20455530600156635,8.92018235300202,1.0075902157797076
12,Matern,normal,1,0,121,40.39926024199003,0.0001649741522771561,1.6493699140206233,300,300,0.019978202556058415,"(0.1, 2.5)",1.484973271662065,0.1,0.20455530600156635,8.92018235300202,0.8071046042293942
13,Matern,normal,1,0,131,49.5907887378641,0.00010397675596744714,1.489989220096391,300,300,0.012550406579532877,"(0.1, 2.5)",0.9635396284689033,0.1,0.20455530600156635,8.92018235300202,0.6223845612599145
14,Matern,normal,1,0,141,54.54587932896227,6.557898301210261e-05,1.234900999818968,300,300,0.007489087718553047,"(0.1, 2.5)",0.607617137777604,0.1,0.20455530600156635,8.92018235300202,0.40849887498020787
15,Matern,normal,1,0,151,68.00710609458888,4.183965523797491e-05,1.1512118856091147,300,300,0.00498555267414116,"(0.1, 2.5)",0.4282618142276026,0.1,0.20455530600156635,8.92018235300202,0.3390530096504792
16,Matern,normal,1,0,161,83.34194116732328,2.8908629305027937e-05,1.1505967566358537,300,300,0.003203747620537981,"(0.1, 2.5)",0.2545610113651053,0.1,0.20455530600156635,8.92018235300202,0.2670065457058284
17,Matern,normal,1,0,171,71.64540083467358,2.227229204518955e-05,1.0783543598075602,300,300,0.0020939697735509167,"(0.1, 2.5)",0.14624580252501973,0.1,0.20455530600156635,8.92018235300202,0.1500233037617461
18,Matern,normal,1,0,181,46.82080020187195,1.4373326614817897e-05,1.04693759145343,300,300,0.0014986599899625439,"(0.1, 2.5)",0.11373796311830163,0.1,0.20455530600156635,8.92018235300202,0.07016845996057568
19,Matern,normal,1,0,191,43.54805118363928,8.658680905814556e-06,1.0469330646654738,300,300,0.0009669157939661157,"(0.1, 2.5)",0.09366049426905534,0.1,0.20455530600156635,8.92018235300202,0.042107298485905616
20,Matern,normal,1,0,201,56.40626189721495,5.599477629865356e-06,1.031863968957756,300,300,0.0007446582876208011,"(0.1, 2.5)",0.07133105712596291,0.1,0.20455530600156635,8.92018235300202,0.042003390395470526
21,Matern,normal,1,0,211,66.13553442666364,4.008394506443458e-06,1.0272047676709033,300,300,0.0004938223410761715,"(0.1, 2.5)",0.055707050622420665,0.1,0.20455530600156635,8.92018235300202,0.032659204438898776
22,Matern,normal,1,0,221,74.09279915637096,2.9404480976888895e-06,1.0199682311444191,300,300,0.00035601640051515496,"(0.1, 2.5)",0.04130739647004978,0.1,0.20455530600156635,8.92018235300202,0.026378251659743498
23,Matern,normal,1,0,231,80.69668019353128,2.1722488691123736e-06,1.0196928888471957,300,300,0.00026761763769518127,"(0.1, 2.5)",0.03269027427345951,0.1,0.20455530600156635,8.92018235300202,0.021595854923236363
24,Matern,normal,1,0,241,86.13191283756545,1.6726342545884963e-06,1.0099122124450162,300,300,0.00019218668616247138,"(0.1, 2.5)",0.024549736812207405,0.1,0.20455530600156635,8.92018235300202,0.01655340690108653
25,Matern,normal,1,0,251,97.29237957307606,1.2363258675470512e-06,1.0078545690711291,300,300,0.00014296969542311247,"(0.1, 2.5)",0.0185047661227496,0.1,0.20455530600156635,8.92018235300202,0.013909861874552534
26,Matern,normal,1,0,261,107.07539037483927,9.684736893232927e-07,1.004109516469892,300,300,0.00010278439177142896,"(0.1, 2.5)",0.013361971319518265,0.1,0.20455530600156635,8.92018235300202,0.011005678873366174
27,Matern,normal,1,0,271,107.83754934398421,7.623068854935108e-07,1.0034545514064912,300,300,8.414314308423429e-05,"(0.1, 2.5)",0.010264953662790195,0.1,0.20455530600156635,8.92018235300202,0.009073790344304038
28,Matern,normal,1,0,281,120.1359311640777,6.158779168667962e-07,1.0025902229196306,300,300,6.467535352538986e-05,"(0.1, 2.5)",0.007364462121703705,0.1,0.20455530600156635,8.92018235300202,0.007769833819138626
29,Matern,normal,1,0,291,107.36632365214649,4.957018341964875e-07,1.0014899245767657,300,300,4.665459745312518e-05,"(0.1, 2.5)",0.005038148432806396,0.1,0.20455530600156635,8.92018235300202,0.005009132610012847
30,Matern,normal,1,0,299,84.13493208232292,4.088037811464657e-07,1.0013407457059031,300,300,3.6570941491694906e-05,"(0.1, 2.5)",0.00409214736325503,0.1,0.20455530600156635,8.92018235300202,0.003076893678590356
31,Matern,normal,1,1,1,1.0,1.0,855.2953840112574,300,300,81.98440739726037,"(0.1, 2.5)",919.0163391669977,0.1,0.2199356089986395,8.83026454100036,81.98440739726037
32,Matern,normal,1,1,11,10.999983246941925,0.0909090577134842,842.3848679473638,300,300,31.77839856401451,"(0.1, 2.5)",733.8174751673725,0.1,0.2199356089986395,8.83026454100036,349.56185181880295
33,Matern,normal,1,1,21,20.85637502666717,0.04747046429483485,708.0235356710633,300,300,12.190549526077056,"(0.1, 2.5)",503.690889991136,0.1,0.2199356089986395,8.83026454100036,254.25067269702282
34,Matern,normal,1,1,31,23.15111249264435,0.030566848566422698,345.7516338900175,300,300,5.331237466352396,"(0.1, 2.5)",302.0079102821138,0.1,0.2199356089986395,8.83026454100036,123.42407830852457
35,Matern,normal,1,1,41,26.177990246811344,0.019090270214370604,165.9852014811415,300,300,2.751500287546367,"(0.1, 2.5)",142.87438822750812,0.1,0.2199356089986395,8.83026454100036,72.02874769148741
36,Matern,normal,1,1,51,35.87856008411338,0.011475079565306722,64.04570201006474,300,300,1.3526656298997999,"(0.1, 2.5)",65.68109188107039,0.1,0.2199356089986395,8.83026454100036,48.531695076075046
37,Matern,normal,1,1,61,26.098386935064692,0.006200784593927905,64.02711161685362,300,300,0.8157155664943805,"(0.1, 2.5)",52.34540746168795,0.1,0.2199356089986395,8.83026454100036,21.288860483325834
38,Matern,normal,1,1,71,32.86002227053195,0.0033969125575489608,20.626454407441916,300,300,0.3941793263285901,"(0.1, 2.5)",24.248730707784773,0.1,0.2199356089986395,8.83026454100036,12.952741441740752
39,Matern,normal,1,1,81,35.101121451732475,0.001909409437883147,9.794400695839908,300,300,0.22653600302037336,"(0.1, 2.5)",11.831331116220534,0.1,0.2199356089986395,8.83026454100036,7.95166775520816
40,Matern,normal,1,1,91,40.1468286917654,0.0011057868394173667,4.054991183362674,300,300,0.13024705255413138,"(0.1, 2.5)",6.5204335147011765,0.1,0.2199356089986395,8.83026454100036,5.229006106498078
41,Matern,normal,1,1,101,29.387729913550395,0.0006128495607153434,4.048479474571828,300,300,0.06932015243891873,"(0.1, 2.5)",3.98623082279366,0.1,0.2199356089986395,8.83026454100036,2.0371619174410855
42,Matern,normal,1,1,111,36.803169230791426,0.0003247429782980441,3.5872508191340486,300,300,0.03883495821694296,"(0.1, 2.5)",2.9932382924901564,0.1,0.2199356089986395,8.83026454100036,1.4292495393288658
43,Matern,normal,1,1,121,42.41122669325008,0.00020080696640512418,1.9101026679889437,300,300,0.02312033020637151,"(0.1, 2.5)",1.8047908470835035,0.1,0.2199356089986395,8.83026454100036,0.9805615656052196
44,Matern,normal,1,1,131,51.00831859495734,0.00012096702682326584,1.7665667633344726,300,300,0.015013817244031624,"(0.1, 2.5)",1.2262690500087685,0.1,0.2199356089986395,8.83026454100036,0.7658295733100294
45,Matern,normal,1,1,141,66.71897033644284,7.822606332700505e-05,1.6689809653674095,300,300,0.00864125031743573,"(0.1, 2.5)",0.7343625127068204,0.1,0.2199356089986395,8.83026454100036,0.5765353235987717
46,Matern,normal,1,1,151,66.08056313941098,5.604033551535165e-05,1.2730540468296743,300,300,0.006471875890933431,"(0.1, 2.5)",0.4622307603669521,0.1,0.2199356089986395,8.83026454100036,0.4276652034412583
47,Matern,normal,1,1,161,58.38856840913398,3.93292026257362e-05,1.118826724041835,300,300,0.004058616192412068,"(0.1, 2.5)",0.2686916601498671,0.1,0.2199356089986395,8.83026454100036,0.23697678919707094
48,Matern,normal,1,1,171,60.76186369731786,2.4745784883145363e-05,1.076855886056368,300,300,0.0026191943666530534,"(0.1, 2.5)",0.17850987213165062,0.1,0.2199356089986395,8.83026454100036,0.1591471311033556
49,Matern,normal,1,1,181,42.92478132927779,1.6481943494785636e-05,1.076650568516803,300,300,0.001804365988973523,"(0.1, 2.5)",0.14181041844720305,0.1,0.2199356089986395,8.83026454100036,0.07745201551467454
50,Matern,normal,1,1,191,46.41678479650578,1.0536538916827351e-05,1.0603855514751521,300,300,0.0013199744481339425,"(0.1, 2.5)",0.10024285182752284,0.1,0.2199356089986395,8.83026454100036,0.06126896989591969
51,Matern,normal,1,1,201,57.162553548771186,7.192113171999594e-06,1.0310611961827307,300,300,0.0008494956614620957,"(0.1, 2.5)",0.07350193391583594,0.1,0.2199356089986395,8.83026454100036,0.04855934123777585
52,Matern,normal,1,1,211,66.16346625050086,4.932187685208557e-06,1.0220181902580403,300,300,0.0005966661108640022,"(0.1, 2.5)",0.056517083347964625,0.1,0.2199356089986395,8.83026454100036,0.03947749808896801
53,Matern,normal,1,1,221,66.33753146232205,3.5067739333743e-06,1.0168990502755906,300,300,0.00044363650983030527,"(0.1, 2.5)",0.04738754787080764,0.1,0.2199356089986395,8.83026454100036,0.02942975092870262
54,Matern,normal,1,1,231,82.23710474626323,2.5141826415539227e-06,1.0168990502755895,300,300,0.000309085653362993,"(0.1, 2.5)",0.03762275953039832,0.1,0.2199356089986395,8.83026454100036,0.025418309251179664
55,Matern,normal,1,1,241,92.26605667414725,1.9030369896324296e-06,1.0143683482674997,300,300,0.00024146667568610954,"(0.1, 2.5)",0.028272724295976,0.1,0.2199356089986395,8.83026454100036,0.022279177983772516
56,Matern,normal,1,1,251,97.48869334798876,1.4717665896161043e-06,1.0093652149941337,300,300,0.0001756420487012326,"(0.1, 2.5)",0.01948577510333217,0.1,0.2199356089986395,8.83026454100036,0.01712311382484697
57,Matern,normal,1,1,261,102.52820203143466,1.1645673094648984e-06,1.006491725427108,300,300,0.00013681115625481353,"(0.1, 2.5)",0.014910405185884374,0.1,0.2199356089986395,8.83026454100036,0.014027001868647698
58,Matern,normal,1,1,271,95.43726123753231,9.37346174330028e-07,1.005138173076863,300,300,9.776730573839592e-05,"(0.1, 2.5)",0.01055536863176884,0.1,0.2199356089986395,8.83026454100036,0.009330643898244983
59,Matern,normal,1,1,281,86.3569646048618,7.218657465773423e-07,1.0026169595367371,300,300,7.506303414349676e-05,"(0.1, 2.5)",0.008266784876976765,0.1,0.2199356089986395,8.83026454100036,0.006482215782663482
60,Matern,normal,1,1,291,91.2047271722332,5.403254835563292e-07,1.0026169041547492,300,300,5.888209159267136e-05,"(0.1, 2.5)",0.007061128492661663,0.1,0.2199356089986395,8.83026454100036,0.005370325099040038
61,Matern,normal,1,1,299,100.46261005581113,4.361806296151495e-07,1.0026169041477009,300,300,4.8933591603737415e-05,"(0.1, 2.5)",0.006152148293744126,0.1,0.2199356089986395,8.83026454100036,0.004915996331916585
62,Matern,normal,1,2,1,1.0,1.0,893.4759204671013,300,300,89.13674090475874,"(0.1, 2.5)",908.6812215166439,0.1,0.1954961599985836,9.148102435996407,89.13674090475874
63,Matern,normal,1,2,11,10.999073257946755,0.09090893627334098,875.1207548705306,300,300,28.430435841785144,"(0.1, 2.5)",747.5286385492395,0.1,0.1954961599985836,9.148102435996407,312.7084465791499
64,Matern,normal,1,2,21,19.771988807776765,0.047389295112295005,547.0340883049804,300,300,11.852332951161612,"(0.1, 2.5)",490.90326014471657,0.1,0.1954961599985836,9.148102435996407,234.34419445641115
65,Matern,normal,1,2,31,28.382366264106285,0.030353584671666902,407.415934903952,300,300,5.192923615032127,"(0.1, 2.5)",301.2582350167851,0.1,0.1954961599985836,9.148102435996407,147.3874600233687
66,Matern,normal,1,2,41,26.933596408720113,0.01956453898140781,172.64975498011486,300,300,2.4866954921845728,"(0.1, 2.5)",153.7367955443279,0.1,0.1954961599985836,9.148102435996407,66.9756527778829
67,Matern,normal,1,2,51,30.792199942571397,0.011336881956355646,81.15871963433713,300,300,1.4700063516030766,"(0.1, 2.5)",80.9378782498189,0.1,0.1954961599985836,9.148102435996407,45.26472949541184
68,Matern,normal,1,2,61,31.652437372210915,0.006518030597002787,54.160607366387275,300,300,0.8166637466448263,"(0.1, 2.5)",37.4335647759267,0.1,0.1954961599985836,9.148102435996407,25.849398094830487
69,Matern,normal,1,2,71,26.06717200513652,0.0035618067384278126,16.728101494374794,300,300,0.44931458722294676,"(0.1, 2.5)",18.810049757601945,0.1,0.1954961599985836,9.148102435996407,11.71236062955747
70,Matern,normal,1,2,81,30.006606546117265,0.0017457479713540683,12.38059690813261,300,300,0.21477616644789613,"(0.1, 2.5)",13.832581925230588,0.1,0.1954961599985836,9.148102435996407,6.444703922085411
71,Matern,normal,1,2,91,39.618707578203335,0.0009744544306906201,6.809981173791809,300,300,0.11635957224731189,"(0.1, 2.5)",7.89286972948725,0.1,0.1954961599985836,9.148102435996407,4.610015866791074
72,Matern,normal,1,2,101,43.07969997877796,0.0005547608999247789,6.804451622080773,300,300,0.062199525739562604,"(0.1, 2.5)",4.9666467899700315,0.1,0.1954961599985836,9.148102435996407,2.679536907682634
73,Matern,normal,1,2,111,46.87930987685338,0.0003539272212373127,3.6075178203857323,300,300,0.03783767570648141,"(0.1, 2.5)",2.1951399870448354,0.1,0.1954961599985836,9.148102435996407,1.773804124464029
74,Matern,normal,1,2,121,44.42312830061469,0.00021027675269493046,1.571145557790327,300,300,0.021696715626492093,"(0.1, 2.5)",1.2228799492584983,0.1,0.1954961599985836,9.148102435996407,0.9638359819776099
75,Matern,normal,1,2,131,36.838634549388026,0.00012079407175746853,1.5635131024297095,300,300,0.013318632460193058,"(0.1, 2.5)",0.8737496764794894,0.1,0.1954961599985836,9.148102435996407,0.4906402338986688
76,Matern,normal,1,2,141,41.001113375486625,7.335769713401761e-05,1.459998798280964,300,300,0.0084505330571983,"(0.1, 2.5)",0.5996465476092319,0.1,0.1954961599985836,9.148102435996407,0.3464812639614851
77,Matern,normal,1,2,151,49.7742718919172,4.515175289172301e-05,1.284974078431509,300,300,0.005013676722747835,"(0.1, 2.5)",0.44449101551981357,0.1,0.1954961599985836,9.148102435996407,0.2495521083762271
78,Matern,normal,1,2,161,55.41887683782424,2.999921744458761e-05,1.181110165389655,300,300,0.003575942925585416,"(0.1, 2.5)",0.3420324598784128,0.1,0.1954961599985836,9.148102435996407,0.19817474057210707
79,Matern,normal,1,2,171,60.37865857139297,1.999937418287691e-05,1.1572358235063591,300,300,0.0023706847138261085,"(0.1, 2.5)",0.24759959152358807,0.1,0.1954961599985836,9.148102435996407,0.14313876291652705
